id_loja,data,IdPurchase,IdSeller,quantidade,preco
784,2024-01-02,438,446,2,94.9
784,2024-01-02,440,446,1,47.45
784,2024-01-02,436,284,2,94.9
784,2024-01-02,437,284,1,52.9
784,2024-01-02,439,284,1,47.45
784,2024-01-02,441,284,1,47.45
783,2024-01-02,516,354,1,44.96
783,2024-01-02,516,354,1,44.97
783,2024-01-02,518,354,2,94.9
783,2024-01-02,521,354,1,52.9
783,2024-01-02,524,354,1,52.9
783,2024-01-02,525,354,1,52.9
783,2024-01-02,527,354,3,134.9
783,2024-01-02,528,354,1,52.9
783,2024-01-02,530,354,1,47.45
783,2024-01-02,514,234,1,52.9
783,2024-01-02,517,234,3,134.9
783,2024-01-02,519,234,1,47.45
783,2024-01-02,523,234,1,47.45
783,2024-01-02,515,184,1,47.45
783,2024-01-02,520,184,1,44.97
783,2024-01-02,520,184,1,44.96
783,2024-01-02,522,184,1,44.97
783,2024-01-02,522,184,1,44.96
783,2024-01-02,526,184,1,44.97
783,2024-01-02,529,184,1,44.97
773,2024-01-02,655,381,1,52.9
773,2024-01-02,656,381,1,47.45
773,2024-01-02,657,47,1,52.9
773,2024-01-02,658,47,1,47.45
773,2024-01-02,659,47,1,47.45
704,2024-01-02,1317,291,1,47.45
704,2024-01-02,1318,291,1,52.9
704,2024-01-02,1319,291,1,47.45
704,2024-01-02,1320,291,1,47.45
704,2024-01-02,1321,291,1,44.97
704,2024-01-02,1321,291,1,44.96
704,2024-01-02,1322,291,1,47.45
655,2024-01-02,1826,449,3,134.9
655,2024-01-02,1827,449,1,44.97
655,2024-01-02,1827,449,1,44.96
655,2024-01-02,1830,449,1,52.9
655,2024-01-02,1828,110,1,44.97
655,2024-01-02,1828,110,1,44.96
655,2024-01-02,1829,110,1,52.9
655,2024-01-02,1831,110,1,52.9
655,2024-01-02,1832,110,1,47.45
655,2024-01-02,1833,110,1,52.9
655,2024-01-02,1834,110,1,44.96
655,2024-01-02,1834,110,1,44.97
654,2024-01-02,2028,368,1,52.9
654,2024-01-02,2029,368,1,44.97
654,2024-01-02,2029,368,1,44.96
654,2024-01-02,2030,368,1,47.45
654,2024-01-02,2031,368,1,47.45
654,2024-01-02,2032,368,1,47.45
654,2024-01-02,2033,269,1,44.96
654,2024-01-02,2033,269,1,44.97
654,2024-01-02,2034,269,1,47.45
654,2024-01-02,2035,269,1,44.97
654,2024-01-02,2035,269,1,44.96
654,2024-01-02,2036,269,1,47.45
654,2024-01-02,2037,269,1,52.9
543,2024-01-02,2761,339,1,52.9
543,2024-01-02,2762,339,1,47.45
543,2024-01-02,2763,244,1,44.97
543,2024-01-02,2763,244,1,44.96
543,2024-01-02,2764,244,1,47.45
543,2024-01-02,2765,244,1,52.9
543,2024-01-02,2766,244,1,52.9
543,2024-01-02,2767,244,1,52.9
498,2024-01-02,3287,6,1,52.9
498,2024-01-02,3288,6,1,52.9
498,2024-01-02,3289,6,1,52.9
498,2024-01-02,3290,6,1,52.9
498,2024-01-02,3291,6,1,52.9
498,2024-01-02,3292,6,2,89.93
498,2024-01-02,3292,6,1,44.97
498,2024-01-02,3293,6,1,52.9
498,2024-01-02,3294,6,1,52.9
498,2024-01-02,3295,6,1,47.45
498,2024-01-02,3296,6,1,47.45
498,2024-01-02,3297,6,1,52.9
498,2024-01-02,3298,6,1,52.9
498,2024-01-02,3299,6,1,47.45
498,2024-01-02,3300,6,1,47.45
392,2024-01-02,3997,340,1,52.9
392,2024-01-02,3998,340,2,94.9
392,2024-01-02,3999,340,3,134.9
392,2024-01-02,4000,340,1,52.9
392,2024-01-02,4001,340,1,44.48
392,2024-01-02,4001,340,1,44.5
392,2024-01-02,4002,340,1,52.9
392,2024-01-02,4003,340,1,52.9
392,2024-01-02,4004,340,1,44.97
359,2024-01-02,3803,239,1,44.97
359,2024-01-02,3803,239,1,44.96
359,2024-01-02,3805,239,1,47.45
359,2024-01-02,3807,239,1,44.97
359,2024-01-02,3807,239,1,44.96
359,2024-01-02,3809,239,1,52.9
359,2024-01-02,3810,239,1,52.9
359,2024-01-02,3811,239,1,44.97
359,2024-01-02,3811,239,2,89.94
359,2024-01-02,3813,239,1,52.9
359,2024-01-02,3814,239,2,89.93
359,2024-01-02,3814,239,1,44.97
359,2024-01-02,3815,239,1,44.96
359,2024-01-02,3815,239,1,44.97
359,2024-01-02,3816,239,1,44.97
359,2024-01-02,3816,239,2,89.93
359,2024-01-02,3804,48,1,47.45
359,2024-01-02,3806,48,1,47.45
359,2024-01-02,3808,48,1,44.97
359,2024-01-02,3808,48,1,44.96
358,2024-01-02,2519,407,2,94.9
358,2024-01-02,2520,407,1,44.97
358,2024-01-02,2521,86,1,47.45
357,2024-01-02,4748,374,2,94.9
357,2024-01-02,4751,374,1,47.45
357,2024-01-02,4753,374,1,47.45
357,2024-01-02,4757,374,1,52.9
357,2024-01-02,4758,374,1,52.9
357,2024-01-02,4760,374,1,44.97
357,2024-01-02,4760,374,1,44.96
357,2024-01-02,4738,213,1,44.97
357,2024-01-02,4738,213,1,44.96
357,2024-01-02,4739,213,1,44.97
357,2024-01-02,4739,213,2,89.93
357,2024-01-02,4740,213,1,47.45
357,2024-01-02,4742,213,1,44.97
357,2024-01-02,4742,213,1,44.96
357,2024-01-02,4745,213,1,44.97
357,2024-01-02,4745,213,1,44.96
357,2024-01-02,4747,213,1,52.9
357,2024-01-02,4749,213,2,94.9
357,2024-01-02,4752,213,1,47.45
357,2024-01-02,4741,99,1,44.97
357,2024-01-02,4741,99,1,44.96
357,2024-01-02,4743,99,1,47.45
357,2024-01-02,4744,99,1,52.9
357,2024-01-02,4746,99,2,94.9
357,2024-01-02,4750,99,1,44.5
357,2024-01-02,4750,99,1,44.48
357,2024-01-02,4754,99,1,47.45
357,2024-01-02,4756,99,1,44.96
357,2024-01-02,4756,99,1,44.97
357,2024-01-02,4759,99,1,44.96
357,2024-01-02,4759,99,1,44.97
357,2024-01-02,4761,99,1,44.96
357,2024-01-02,4761,99,1,44.97
356,2024-01-02,3820,212,1,47.45
356,2024-01-02,3821,212,1,52.9
356,2024-01-02,3822,212,1,52.9
356,2024-01-02,3826,212,1,47.45
356,2024-01-02,3828,212,2,94.9
356,2024-01-02,3829,212,1,44.97
356,2024-01-02,3830,212,1,44.97
356,2024-01-02,3831,212,1,47.45
356,2024-01-02,3817,141,1,47.45
356,2024-01-02,3823,141,1,47.45
356,2024-01-02,3832,141,1,47.45
356,2024-01-02,3833,141,1,52.9
356,2024-01-02,3818,75,1,52.9
356,2024-01-02,3819,75,1,52.9
356,2024-01-02,3824,75,1,52.9
356,2024-01-02,3825,75,1,47.45
356,2024-01-02,3827,75,1,47.45
354,2024-01-02,4232,319,1,47.45
354,2024-01-02,4233,319,1,52.9
354,2024-01-02,4235,319,1,52.9
354,2024-01-02,4237,319,1,47.45
354,2024-01-02,4234,185,1,52.9
354,2024-01-02,4236,185,1,52.9
354,2024-01-02,4238,185,1,47.45
354,2024-01-02,4239,185,1,47.45
354,2024-01-02,4240,185,1,47.45
354,2024-01-02,4241,185,1,47.45
354,2024-01-02,4242,185,1,47.45
354,2024-01-02,4243,185,1,47.45
353,2024-01-02,3434,452,1,52.9
353,2024-01-02,3435,452,1,44.97
353,2024-01-02,3435,452,1,44.96
353,2024-01-02,3439,452,1,44.97
353,2024-01-02,3439,452,2,89.93
353,2024-01-02,3440,452,1,44.97
353,2024-01-02,3440,452,1,44.96
353,2024-01-02,3441,452,1,47.45
353,2024-01-02,3442,452,1,47.45
353,2024-01-02,3443,452,1,47.45
353,2024-01-02,3444,452,2,94.9
353,2024-01-02,3445,452,1,44.97
353,2024-01-02,3445,452,1,44.96
353,2024-01-02,3446,452,1,44.97
353,2024-01-02,3447,452,1,52.9
353,2024-01-02,3433,392,1,52.9
353,2024-01-02,3436,392,2,89.93
353,2024-01-02,3436,392,1,44.97
353,2024-01-02,3437,392,1,52.9
353,2024-01-02,3438,392,2,89.93
353,2024-01-02,3438,392,1,44.97
352,2024-01-02,5615,461,1,52.9
352,2024-01-02,5616,461,2,89.94
352,2024-01-02,5620,461,3,134.9
352,2024-01-02,5621,461,1,47.45
352,2024-01-02,5622,461,1,52.9
352,2024-01-02,5623,461,1,47.45
352,2024-01-02,5611,359,1,52.9
352,2024-01-02,5612,359,2,94.9
352,2024-01-02,5613,359,2,89.93
352,2024-01-02,5613,359,1,44.97
352,2024-01-02,5614,359,1,44.97
352,2024-01-02,5614,359,1,44.96
352,2024-01-02,5617,359,1,44.96
352,2024-01-02,5617,359,1,44.97
352,2024-01-02,5618,359,1,47.45
352,2024-01-02,5619,359,1,52.9
351,2024-01-02,4576,387,1,44.97
351,2024-01-02,4576,387,2,89.93
351,2024-01-02,4590,387,1,47.45
351,2024-01-02,4591,387,1,52.9
351,2024-01-02,4578,336,1,47.45
351,2024-01-02,4579,336,1,52.9
351,2024-01-02,4588,336,1,44.97
351,2024-01-02,4588,336,1,44.96
351,2024-01-02,4577,303,3,134.9
351,2024-01-02,4586,303,1,44.96
351,2024-01-02,4586,303,1,44.97
351,2024-01-02,4589,303,1,47.45
351,2024-01-02,4592,303,3,134.9
351,2024-01-02,4580,240,1,44.97
351,2024-01-02,4581,240,1,47.45
351,2024-01-02,4582,240,1,47.45
351,2024-01-02,4583,240,1,52.9
351,2024-01-02,4584,240,1,44.97
351,2024-01-02,4584,240,1,44.96
351,2024-01-02,4585,240,1,47.45
351,2024-01-02,4587,240,1,47.45
350,2024-01-02,3941,396,1,47.45
350,2024-01-02,3943,396,2,94.9
350,2024-01-02,3947,396,1,47.45
350,2024-01-02,3949,396,1,47.45
350,2024-01-02,3950,396,2,94.9
350,2024-01-02,3953,396,1,47.45
350,2024-01-02,3942,294,1,44.97
350,2024-01-02,3942,294,1,44.96
350,2024-01-02,3945,294,2,94.9
350,2024-01-02,3946,294,1,47.45
350,2024-01-02,3948,294,1,44.97
350,2024-01-02,3948,294,2,89.93
350,2024-01-02,3951,294,1,47.45
350,2024-01-02,3952,294,1,47.45
350,2024-01-02,3954,294,1,47.45
350,2024-01-02,3938,138,1,44.48
350,2024-01-02,3938,138,1,44.5
350,2024-01-02,3939,138,1,44.97
350,2024-01-02,3939,138,2,89.93
350,2024-01-02,3940,138,1,47.45
350,2024-01-02,3944,138,1,47.45
349,2024-01-02,3349,412,1,44.96
349,2024-01-02,3349,412,1,44.97
349,2024-01-02,3351,412,1,47.45
349,2024-01-02,3353,412,1,47.45
349,2024-01-02,3350,397,3,134.9
349,2024-01-02,3352,146,2,94.9
349,2024-01-02,3357,146,1,47.45
349,2024-01-02,3358,146,1,52.9
349,2024-01-02,3354,134,1,47.45
349,2024-01-02,3355,134,1,52.9
349,2024-01-02,3356,134,1,47.45
348,2024-01-02,2931,176,2,94.9
348,2024-01-02,2933,176,3,134.9
348,2024-01-02,2934,176,3,134.9
348,2024-01-02,2935,176,1,47.45
348,2024-01-02,2930,98,1,47.45
348,2024-01-02,2932,98,3,134.9
347,2024-01-02,4435,464,2,94.9
347,2024-01-02,4442,464,1,47.45
347,2024-01-02,4443,464,1,44.97
347,2024-01-02,4443,464,1,44.96
347,2024-01-02,4445,464,2,94.9
347,2024-01-02,4447,464,1,44.97
347,2024-01-02,4447,464,1,44.96
347,2024-01-02,4448,464,1,52.9
347,2024-01-02,4449,464,1,44.97
347,2024-01-02,4449,464,2,89.94
347,2024-01-02,4433,386,1,44.97
347,2024-01-02,4433,386,1,44.96
347,2024-01-02,4434,386,1,52.9
347,2024-01-02,4438,386,1,52.9
347,2024-01-02,4439,386,1,44.97
347,2024-01-02,4439,386,1,44.96
347,2024-01-02,4440,386,3,134.9
347,2024-01-02,4441,386,1,44.97
347,2024-01-02,4441,386,1,44.96
347,2024-01-02,4444,386,1,44.97
347,2024-01-02,4436,277,1,44.96
347,2024-01-02,4436,277,1,44.97
347,2024-01-02,4437,277,2,94.9
347,2024-01-02,4446,277,1,44.96
347,2024-01-02,4446,277,1,44.97
347,2024-01-02,4450,277,1,44.97
347,2024-01-02,4450,277,1,44.96
346,2024-01-02,2635,390,1,47.45
346,2024-01-02,2636,390,1,47.45
346,2024-01-02,2638,390,1,47.45
346,2024-01-02,2640,390,1,52.9
346,2024-01-02,2641,390,1,44.96
346,2024-01-02,2641,390,1,44.97
346,2024-01-02,2642,390,1,52.9
346,2024-01-02,2643,390,1,52.9
346,2024-01-02,2633,117,1,52.9
346,2024-01-02,2634,117,1,44.96
346,2024-01-02,2634,117,1,44.97
346,2024-01-02,2637,117,2,89.93
